epoch,loss,val_loss
0,0.04736382141709328,0.05721326544880867
1,0.04614951089024544,0.057179804891347885
2,0.046131160110235214,0.057246945798397064
3,0.0461231954395771,0.057190097868442535
4,0.04612110182642937,0.05718410015106201
5,0.046116169542074203,0.05717059224843979
6,0.04610942304134369,0.05719944089651108
7,0.04610392823815346,0.05716681852936745
8,0.046100765466690063,0.0571821928024292
9,0.04609741270542145,0.05716467276215553
10,0.046094831079244614,0.05719919502735138
11,0.046094346791505814,0.05716298148036003
12,0.046094559133052826,0.05716076120734215
13,0.04609118774533272,0.05716783180832863
14,0.046091094613075256,0.057161711156368256
15,0.046089623123407364,0.05717262625694275
16,0.04608578234910965,0.05718090012669563
17,0.04608448967337608,0.05716964974999428
