epoch,loss,val_loss
0,0.0023828749544918537,0.00015819580585230142
1,0.0008390652947127819,4.366274879430421e-05
2,0.0008049469324760139,0.00012850742496084422
3,0.0007777870050631464,5.055688234278932e-05
4,0.0007720793946646154,2.4558368750149384e-05
5,0.000763116346206516,5.883557605557144e-05
6,0.0007609124877490103,5.912443884881213e-05
7,0.0007578382501378655,7.178693340392783e-05
8,0.0007566892309114337,3.7794648960698396e-05
9,0.0007560834055766463,4.157090006629005e-05
10,0.0007526425179094076,7.795877172611654e-05
11,0.0007502528605982661,1.5959505617502145e-05
12,0.0007522017112933099,5.053355198469944e-05
13,0.000752044259570539,3.9881851989775896e-05
14,0.0007474377634935081,9.716620115796104e-05
15,0.0007475914317183197,0.00010992098395945504
16,0.0007435749866999686,5.4695708968210965e-05
17,0.0007446609670296311,2.8204651243868284e-05
18,0.0007460173801518977,5.3918964113108814e-05
19,0.000744551420211792,6.336916703730822e-05
20,0.0007457633619196713,6.047350325388834e-05
21,0.0007441575289703906,3.725801798282191e-05
22,0.0007420311449095607,3.704375194502063e-05
23,0.0007458277395926416,4.4773187255486846e-05
24,0.0007416135631501675,8.839582005748525e-05
25,0.0007428669487126172,2.8952561478945427e-05
26,0.0007424777722917497,3.1061914341989905e-05
