epoch,loss,val_loss
0,0.0022375003900378942,6.462461169576272e-05
1,0.0008387643028981984,0.00014265700883697718
2,0.0008130579954013228,0.00015288894064724445
3,0.0008015517960302532,0.00010990194277837873
4,0.0008009419543668628,0.0001481480576330796
5,0.0007749298238195479,5.106361277285032e-05
6,0.000761840317863971,0.00011806141992565244
7,0.0007594481576234102,1.809724017221015e-05
8,0.000757089292164892,0.0001250289788004011
9,0.0007543021929450333,3.540166653692722e-05
10,0.0007539808284491301,8.745840023038909e-05
11,0.0007565354462713003,0.00010130926966667175
12,0.0007536260527558625,0.0001370824029436335
13,0.0007512655574828386,4.5346812839852646e-05
14,0.0007481608772650361,5.4512791393790394e-05
15,0.0007486076792702079,3.3442167477915064e-05
16,0.0007448155083693564,2.655946445884183e-05
17,0.0007469986448995769,0.00011962949065491557
18,0.0007452797144651413,6.310531171038747e-05
19,0.0007459439802914858,3.410520002944395e-05
20,0.0007452254649251699,0.00010291332728229463
21,0.0007451576530002058,4.667257235269062e-05
22,0.0007432870916090906,5.8591976994648576e-05
